Publication Title,Publication Title
Web Information Systems Engineering,2
Advances and Trends in Artificial Intelligence. Artificial Intelligence Practices,2
Developing Enterprise Chatbots,2
Advanced Visual Interfaces. Supporting Artificial Intelligence and Big Data Applications,2
Digital Economy. Emerging Technologies and Business Innovation,2
Web Recommendations Systems,2
Advanced Hybrid Information Processing,2
"Social Computing and Social Media: Design, User Experience and Impact",2
Digital Libraries: Supporting Open Science,2
"Digital Nations – Smart Cities, Innovation, and Sustainability",2
Digital TV and Wireless Multimedia Communication,2
Advanced Analytics and Learning on Temporal Data,2
Services Computing – SCC 2019,2
AI*IA 2018 – Advances in Artificial Intelligence,2
Disease Control Through Social Network Surveillance,2
Distributed Computing and Intelligent Technology,2
Service-Oriented Computing – ICSOC 2018 Workshops,2
Document Analysis Systems,2
AI and Ethics,2
Domain-Specific Conceptual Modeling,2
Semantische Datenintelligenz im Einsatz,2
AI Approaches to the Complexity of Legal Systems,2
AI 2021: Advances in Artificial Intelligence,2
Electronic Government and the Information Systems Perspective,2
Semantic Keyword-Based Search on Structured Data Sources,2
Encyclopedia of Education and Information Technologies,2
AI 2019: Advances in Artificial Intelligence,2
"Design, User Experience, and Usability. Interaction Design",2
"Big Data, Cloud and Applications",2
Visual Analytics for Data Scientists,2
Advances in Intelligent Data Analysis XVI,2
"Social Computing and Social Media. Design, Ethics, User Behavior, and Social Network Analysis",2
Deep Learning Pipeline,2
"Social Computing and Social Media. Design, Human Behavior and Analytics",2
Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems,2
Vietnam Journal of Computer Science,2
Advances in Neural Networks – ISNN 2019,2
"Social Computing and Social Media: Applications in Marketing, Learning, and Health",2
Advances in Intelligent Data Analysis XIX,2
The Practice of Crowdsourcing,1
The Semantic Web: ESWC 2017 Satellite Events,1
Virtual Reality and Augmented Reality,1
Model and Data Engineering,1
Neural Networks and Deep Learning,1
The Web at Graduation and Beyond,1
Understanding-Oriented Multimedia Content Analysis,1
The NIPS '17 Competition: Building Intelligent Systems,1
"Universal Access in Human-Computer Interaction. Theory, Methods and Tools",1
The Urban Book Series,1
The Transdisciplinary Reach of Design Science Research,1
"Mobile, Secure, and Programmable Networking",1
eHealth 360°,1
The Theory and Practice of Social Machines,1
New Opportunities for Software Reuse,1
The Role of Digital Technologies in Shaping the Post-Pandemic World,1
Multimodal Analytics for Next-Generation Big Data Technologies and Applications,1
Mobile Big Data,1
The Next Wave of Sociotechnical Design,1
This Changes Everything – ICT and Climate Change: What Can We Do?,1
e-Infrastructure and e-Services for Developing Countries,1
Mobile Ad-hoc and Sensor Networks,1
The Semantic Web – ISWC 2017,1
Virtual Reality,1
Using Comparable Corpora for Under-Resourced Areas of Machine Translation,1
Videogame Sciences and Arts,1
"e-Learning, e-Education, and Online Training",1
New Trends in Computer Technologies and Applications,1
Trust Management XII,1
Multi-Agent Systems and Agreement Technologies,1
Natural Language Processing Projects,1
Web Services – ICWS 2020,1
Web Services – ICWS 2019,1
Web Services – ICWS 2018,1
Modelling and Development of Intelligent Systems,1
Transforming the IT Services Lifecycle with AI Technologies,1
Network Data Analytics,1
Web Information Systems and Technologies,1
"Modeling, Machine Learning and Astronomy",1
Tree-Based Convolutional Neural Networks,1
Understanding and Improving Information Search,1
Undergraduate Topics in Computer Science,1
Web Content Credibility,1
Ubiquitous Networking,1
"Trends in Computational Intelligence, Security and Internet of Things",1
NII Testbeds and Community for Information Access Research,1
Transactions on Large-Scale Data- and Knowledge-Centered Systems XXXVII,1
Word Association Thematic Analysis,1
Understanding and Interpreting Machine Learning in Medical Image Computing Applications,1
Tools and Methods of Program Analysis,1
Web and Wireless Geographical Information Systems,1
Visual Pattern Discovery and Recognition,1
Transactions on Computational Collective Intelligence XXXIII,1
Transactions on Computational Science and Computational Intelligence,1
Transactions on Large-Scale Data- and Knowledge-Centered Systems XL,1
Network and System Security,1
Wahrheit und Fake im postfaktisch-digitalen Zeitalter,1
Transactions on Large-Scale Data- and Knowledge-Centered Systems XLIII,1
Next Generation Computer Animation Techniques,1
Web and Big Data. APWeb-WAIM 2020 International Workshops,1
Modeling and Using Context,1
Multiview Machine Learning,1
Network and Parallel Computing,1
Video Verification in the Fake News Era,1
PRICAI 2021: Trends in Artificial Intelligence,1
Next-Gen Digital Services. A Retrospective and Roadmap for Service Computing of the Future,1
"Social Computing and Social Media. Participation, User Experience, Consumer Experience,  and Applications of Social Computing",1
"Smart Technologies, Systems and Applications",1
Smart Trends in Information Technology and Computer Communications,1
"Smart Working, Living and Organising",1
Smart and Innovative Trends in Next Generation Computing Technologies,1
Representation Learning,1
Social Computing and Social Media. Applications and Analytics,1
Reflexion und Subversion,1
Reflections on Artificial Intelligence for Humanity,1
Reconstruction of the Public Sphere in the Socially Mediated Age,1
Social Computing and Social Media. Communication and Social Communities,1
Recommender Systems in Fashion and Retail,1
Social Computing and Social Media. Technologies and Analytics,1
"The Ecosystem of e-Business: Technologies, Stakeholders, and Connections",1
Social Computing and Social Media. User Experience and Behavior,1
Recent Featured Applications of Artificial Intelligence Methods. LSMS 2020 and ICSEE 2020 Workshops,1
Recent Challenges in Intelligent Information and Database Systems,1
Recent Advances in Data Science,1
Real-time Linked Dataspaces,1
Quality Estimation for Machine Translation,1
PyTorch Recipes,1
Provenance in Data Science,1
Programming Languages and Systems,1
Programming Algorithms in Lisp,1
Product Lifecycle Management in the Digital Twin Era,1
Smart Connected World,1
Smart Computing and Intelligence,1
Smart City and Informatization,1
Mining Data for Financial Applications,1
Security and Privacy in Social Networks and Big Data,1
Security and Privacy in New Computing Environments,1
Semantic Applications,1
"Semantic Relations Between Nominals, Second Edition",1
Secure Knowledge Management In The Artificial Intelligence Era,1
Semantic Systems. In the Era of Knowledge Graphs,1
Semantic Systems. The Power of AI and Knowledge Graphs,1
Search Based Software Engineering,1
Service-Oriented Computing  – ICSOC 2020 Workshops,1
Science of Cyber Security,1
Service-Oriented Computing – ICSOC 2021 Workshops,1
Services Computing – SCC 2018,1
Services Computing – SCC 2020,1
Services – SERVICES 2020,1
Rough Sets,1
Robust Representation for Data Analytics,1
Robotic Tactile Perception and Understanding,1
RoboCup 2016: Robot World Cup XX,1
Reuse in the Big Data Era,1
